iter	Logloss
0	0.2975217627
1	0.234780278
2	0.1993704379
3	0.188254359
4	0.1823439596
5	0.1801340569
6	0.1772022401
7	0.1750677976
8	0.1736381465
9	0.1733084216
10	0.1721030387
11	0.1709330159
12	0.1699951805
13	0.1694765353
14	0.1691932103
15	0.1690876877
16	0.1687510258
17	0.1679965692
18	0.1676397856
19	0.1670501094
20	0.1666711076
21	0.1662197851
22	0.1658066493
23	0.1656952632
24	0.1647653787
25	0.1644046316
26	0.1636830789
27	0.1630067228
28	0.1625086229
29	0.1622592798
30	0.1618245952
31	0.1616455272
32	0.1612675818
33	0.1609132868
34	0.1608585112
35	0.1599409725
36	0.1597929252
37	0.1595448689
38	0.1591070725
39	0.1589571199
40	0.1586508698
41	0.1584560203
42	0.1576926
43	0.15757333
44	0.1568804179
45	0.1565461203
46	0.1559705394
47	0.1555288641
48	0.1550592874
49	0.1547816577
50	0.1535964726
51	0.1530814591
52	0.1524021447
53	0.1521832529
54	0.1517425173
55	0.1512737465
56	0.1512737088
57	0.1510895688
58	0.1507336167
59	0.1502365961
60	0.1493642596
61	0.1492401247
62	0.149159858
63	0.1489414675
64	0.1488066054
65	0.1486038096
66	0.1480363094
67	0.1475843634
68	0.1474280335
69	0.1473711529
70	0.1470535395
71	0.1468117111
72	0.1466819357
73	0.146414126
74	0.1463351508
75	0.1461674326
76	0.1457635053
77	0.1456017258
78	0.145588217
79	0.1449364459
