iter	Passed	Remaining
0	12	1007
1	22	892
2	33	861
3	51	971
4	60	908
5	69	859
6	85	892
7	100	902
8	115	911
9	125	876
10	132	832
11	142	808
12	155	801
13	170	804
14	190	826
15	208	832
16	218	811
17	235	810
18	253	812
19	265	795
20	273	769
21	291	767
22	308	764
23	324	758
24	332	731
25	343	712
26	358	704
27	373	693
28	386	679
29	391	652
30	411	650
31	426	639
32	442	630
33	449	608
34	459	590
35	472	577
36	488	567
37	505	559
38	516	542
39	531	531
40	546	520
41	564	510
42	571	491
43	577	472
44	596	463
45	611	452
46	622	436
47	636	424
48	646	409
49	665	399
50	682	387
51	692	372
52	697	355
53	710	342
54	735	334
55	752	322
56	760	306
57	773	293
58	783	278
59	799	266
60	815	253
61	821	238
62	827	223
63	843	210
64	854	197
65	876	185
66	883	171
67	893	157
68	905	144
69	924	132
70	936	118
71	946	105
72	955	91
73	966	78
74	981	65
75	1002	52
76	1011	39
77	1019	26
78	1033	13
79	1055	0
