iter	MultiClass
0	0.4605059048
1	0.3503108852
2	0.2906126961
3	0.2559666215
4	0.2316923026
5	0.2105745754
6	0.197693731
7	0.1918272966
8	0.1856187384
9	0.1824235776
10	0.1804442117
11	0.1793339084
12	0.1761479293
13	0.1750351821
14	0.1738782346
15	0.1734514975
16	0.17293761
17	0.1721999461
18	0.1715186944
19	0.1712614157
20	0.1704268712
21	0.169852421
22	0.1697387441
23	0.1694079222
24	0.1690128967
25	0.1688077167
26	0.168575389
27	0.1683978599
28	0.1681454206
29	0.167838624
30	0.1673624935
31	0.167089361
32	0.1669304216
33	0.166807127
34	0.1666078076
35	0.1665194236
36	0.1659924101
37	0.1658955419
38	0.165503721
39	0.1653199139
40	0.1651841176
41	0.1650899355
42	0.1648788375
43	0.1643968233
44	0.1640801624
45	0.1639840603
46	0.1637870615
47	0.1637159043
48	0.1636186934
49	0.1633472341
