iter	Passed	Remaining
0	7	381
1	14	347
2	20	316
3	26	308
4	33	302
5	40	295
6	46	287
7	54	285
8	62	282
9	68	273
10	72	258
11	78	248
12	88	251
13	96	249
14	106	248
15	114	243
16	124	241
17	131	233
18	138	226
19	143	215
20	148	204
21	152	194
22	161	189
23	171	185
24	179	179
25	186	172
26	193	165
27	201	158
28	211	152
29	217	145
30	222	136
31	227	127
32	235	121
33	246	116
34	254	108
35	260	101
36	269	94
37	278	87
38	285	80
39	291	72
40	296	64
41	300	57
42	306	49
43	314	42
44	323	35
45	332	28
46	341	21
47	348	14
48	355	7
49	366	0
